Average_Price,borough,Date
653147.94,KT5,2022-09-01
655699.25,KT5,2022-10-01
657149.25,KT5,2022-11-01
660948.3,KT5,2022-12-01
410599.66,UB5,2022-01-01
412106.06,UB5,2022-02-01
414475.22,UB5,2022-03-01
414738.88,UB5,2022-04-01
415873.0,UB5,2022-05-01
417892.66,UB5,2022-06-01
417609.3,UB5,2022-07-01
420407.03,UB5,2022-08-01
420088.28,UB5,2022-09-01
422323.06,UB5,2022-10-01
422921.5,UB5,2022-11-01
424082.12,UB5,2022-12-01
1359598.4,TW9,2022-01-01
1364628.2,TW9,2022-02-01
1368803.0,TW9,2022-03-01
1373955.6,TW9,2022-04-01
1378391.1,TW9,2022-05-01
1383597.0,TW9,2022-06-01
1388046.2,TW9,2022-07-01
1393238.2,TW9,2022-08-01
1397857.1,TW9,2022-09-01
1402879.9,TW9,2022-10-01
1407511.9,TW9,2022-11-01
1412522.2,TW9,2022-12-01
473800.47,CR5,2022-01-01
478524.72,CR5,2022-02-01
477853.47,CR5,2022-03-01
480384.44,CR5,2022-04-01
480395.16,CR5,2022-05-01
481814.8,CR5,2022-06-01
483056.34,CR5,2022-07-01
483319.75,CR5,2022-08-01
485543.06,CR5,2022-09-01
485180.47,CR5,2022-10-01
487554.62,CR5,2022-11-01
487478.1,CR5,2022-12-01
495484.06,DA7,2022-01-01
496934.25,DA7,2022-02-01
497837.6,DA7,2022-03-01
498770.84,DA7,2022-04-01
500435.38,DA7,2022-05-01
500844.5,DA7,2022-06-01
502884.78,DA7,2022-07-01
503073.03,DA7,2022-08-01
505239.1,DA7,2022-09-01
505438.47,DA7,2022-10-01
507422.03,DA7,2022-11-01
507894.06,DA7,2022-12-01
581751.25,W9,2022-01-01
581819.44,W9,2022-02-01
584019.7,W9,2022-03-01
574493.3,W9,2022-04-01
585370.3,W9,2022-05-01
572572.25,W9,2022-06-01
585168.7,W9,2022-07-01
573314.75,W9,2022-08-01
583034.1,W9,2022-09-01
574029.94,W9,2022-10-01
579028.44,W9,2022-11-01
574720.1,W9,2022-12-01
451373.8,SE8,2022-01-01
452754.62,SE8,2022-02-01
454119.53,SE8,2022-03-01
455644.28,SE8,2022-04-01
457130.75,SE8,2022-05-01
458656.34,SE8,2022-06-01
460142.9,SE8,2022-07-01
461668.5,SE8,2022-08-01
463210.28,SE8,2022-09-01
464680.78,SE8,2022-10-01
466222.47,SE8,2022-11-01
467692.9,SE8,2022-12-01
383077.53,UB1,2022-01-01
380656.3,UB1,2022-02-01
381547.53,UB1,2022-03-01
382446.12,UB1,2022-04-01
383067.3,UB1,2022-05-01
383973.72,UB1,2022-06-01
384625.56,UB1,2022-07-01
385500.88,UB1,2022-08-01
386243.94,UB1,2022-09-01
387146.34,UB1,2022-10-01
387994.38,UB1,2022-11-01
388883.25,UB1,2022-12-01
810586.6,KT1,2022-01-01
814068.06,KT1,2022-02-01
816931.75,KT1,2022-03-01
820798.1,KT1,2022-04-01
822628.2,KT1,2022-05-01
826822.2,KT1,2022-06-01
829045.94,KT1,2022-07-01
832249.94,KT1,2022-08-01
835793.25,KT1,2022-09-01
837854.5,KT1,2022-10-01
841936.1,KT1,2022-11-01
844115.44,KT1,2022-12-01
3136085.2,N6,2022-01-01
3120814.2,N6,2022-02-01
3124958.5,N6,2022-03-01
3187383.0,N6,2022-04-01
3138934.5,N6,2022-05-01
3214118.2,N6,2022-06-01
3195720.0,N6,2022-07-01
3213422.5,N6,2022-08-01
3257566.2,N6,2022-09-01
3229717.2,N6,2022-10-01
3288895.5,N6,2022-11-01
