ARIMA weight,ARIMA RMSE,ARIMA MAE,XGBoost weight,XGBoost RMSE,XGBoost MAE,MLP weight,MLP RMSE,MLP MAE,ensemble RMSe,ensemble MAE,borough
0.23767745215192376,59878.29445109627,42825.245848400395,0.4739973320832704,32139.408012105403,20508.91052189514,0.288325215764806,51011.66796875,34503.4609375,44173.66429042537,29847.98201177761,E6
0.24436118153000455,121880.33838072247,102292.94625938984,0.429302506008754,93883.16697367634,47761.30333947066,0.32633631246124134,115122.75,65248.01171875,107655.83606122501,66793.26796373352,E1
0.29546817604317577,90450.67253426903,67272.14926163362,0.4386878291112393,70948.11934335112,40999.96249287487,0.26584399484558485,126126.015625,64963.31640625,91379.21553754553,55133.071332335894,IG8
0.28191389725303545,75693.76084012016,58356.46888864396,0.41591103286532966,61301.980880533425,35138.39959902732,0.3021750698816349,78700.046875,50449.578125,70616.48546503189,46310.552440210144,N15
0.21107867308949077,132478.3244600371,118804.3614644662,0.47047668203197,74303.24702614757,45192.363874844,0.3184446448785392,104423.1484375,68917.28125,96174.28648648609,68285.35953783248,SW9
0.13796427232087854,196400.14716132768,172017.91798282953,0.502383619173014,66534.5379796176,40519.13562723084,0.3596521085061074,87257.1640625,58936.890625,91904.28841437213,65285.25386489917,N12
0.31565174446934363,61943.663047171525,49680.34217864589,0.4199864547089714,57656.18700659397,32344.06237063535,0.26436180082168503,86886.0546875,52996.4296875,66736.79675607668,43275.98634975978,KT6
0.25826592890034306,74159.1036701885,62534.0053705607,0.43549196352337743,51729.50506346986,32925.873058078396,0.30624210757627957,70141.1640625,48322.33203125,63160.73143833465,45287.6888979217,W7
0.20641407534576423,133242.11444795743,99328.29014012605,0.4573905003750575,70926.95706698201,40257.23047811501,0.3361954242791783,86219.03125,58743.578125,88930.80802587024,58665.354128460385,KT1
0.23812309886890093,45737.15252623086,37785.16472083146,0.4383846703485735,29431.006032890156,18182.874743157263,0.32349223078252554,37393.87890625,25697.919921875,35889.80367573554,25281.691506862706,N9
