Borough,learning_rate,max_depth,n_estimators
BR6,0.2,5.0,500.0
NW8,0.3,5.0,500.0
KT3,0.2,5.0,500.0
DA15,0.2,5.0,500.0
W5,0.2,5.0,500.0
WD3,0.01,3.0,500.0
KT4,0.2,5.0,500.0
W2,0.1,5.0,500.0
N21,0.2,5.0,500.0
CR0,0.2,5.0,500.0
SM3,0.2,5.0,500.0
RM10,0.2,5.0,500.0
CR7,0.2,5.0,500.0
SM4,0.2,5.0,500.0
WC2,0.1,3.0,100.0
SW19,0.2,5.0,500.0
