Borough,RMSE,MAE,Loss
E17,66345.6953125,42442.9921875,4407752192.0
W14,558249.25,186366.3125,310872932352.0
SE17,91883.671875,62224.68359375,8417980416.0
EC1,165096.75,90790.8984375,27250393088.0
HA9,67737.15625,45490.94921875,4583907840.0
SW14,356021.9375,122324.8359375,125809065984.0
WC2,418124.8125,226285.359375,170721787904.0
E10,58608.62890625,36172.453125,3405064960.0
RM3,44064.74609375,27809.62109375,1938044928.0
TW12,109068.71875,63918.73828125,11887422464.0
W13,115226.7734375,67484.484375,13254799360.0
IG7,56751.51171875,35835.0,3264361728.0
SE10,130450.4921875,74429.6953125,16955086848.0
SW13,451500.46875,223642.8125,216605671424.0
IG3,63160.58984375,42211.78125,3949533696.0
E14,96843.2578125,56478.65625,9378616320.0
RM7,39419.18359375,29808.697265625,1555457408.0
WC1,190743.78125,99491.0625,36185415680.0
SW17,137746.328125,60199.6796875,18889240576.0
NW8,513211.21875,215768.71875,263605059584.0
EC2,221709.890625,108025.1015625,49029939200.0
SE14,75388.90625,46121.40234375,5643302400.0
SE9,57489.375,35545.84765625,3302124544.0
N7,111705.375,63832.86328125,12478052352.0
W8,1180277.25,469564.53125,1393054449664.0
DA6,74055.1171875,46360.89453125,5772834816.0
CR4,46831.4375,31945.5078125,2190680576.0
TW8,107227.421875,66217.390625,11492560896.0
N22,74454.4453125,49357.99609375,5530879488.0
KT4,58910.578125,36896.54296875,3518582784.0
N3,137240.0,79564.65625,18827175936.0
UB4,47068.1640625,34066.6875,2215262208.0
CR0,55385.4453125,32156.169921875,3067547648.0
