Date,ARIMA_Predictions,XGBoost_Predictions,TF_Predictions,Mean_Predictions,weight_xgb,weight_tf,borough
2022-01-01,587703.5990387445,434239.1,905675.9,616124.7777171043,0.3891071691925506,0.2771792234871986,E14
2022-02-01,589294.6064066358,434239.1,905323.25,616557.9712719537,0.3891071691925506,0.2771792234871986,E14
2022-03-01,590885.6137745271,434239.1,905029.5,617007.4906830664,0.3891071691925506,0.2771792234871986,E14
2022-04-01,592476.6211424185,441235.78,904676.6,620163.0732916561,0.3891071691925506,0.2771792234871986,E14
2022-05-01,594067.6285103097,442310.9,904851.56,621160.8462763517,0.3891071691925506,0.2771792234871986,E14
2022-06-01,595658.6358782011,441947.12,905078.3,621613.0852954885,0.3891071691925506,0.2771792234871986,E14
2022-07-01,597249.6432460924,442412.94,905306.6,622388.560021776,0.3891071691925506,0.2771792234871986,E14
2022-08-01,598840.6506139837,438738.72,905533.44,621552.7108216533,0.3891071691925506,0.2771792234871986,E14
2022-09-01,600431.657981875,438738.72,905759.8,622146.393918694,0.3891071691925506,0.2771792234871986,E14
2022-10-01,602022.6653497664,438738.72,906055.25,622759.2273282853,0.3891071691925506,0.2771792234871986,E14
2022-11-01,603613.6727176576,438738.72,906499.1,623413.1941346423,0.3891071691925506,0.2771792234871986,E14
2022-12-01,605204.680085549,438738.72,906944.9,624067.701440485,0.3891071691925506,0.2771792234871986,E14
2022-01-01,520739.22813691536,508753.53,623309.1,548010.0063839261,0.4658040673001186,0.3203061931526257,TW8
2022-02-01,517086.01434940053,510304.88,625538.44,548665.317986853,0.4658040673001186,0.3203061931526257,TW8
2022-03-01,535903.5526036487,548961.1,625264.7,570608.7402281093,0.4658040673001186,0.3203061931526257,TW8
2022-04-01,518928.2725345168,510304.88,628771.5,550094.9272510803,0.4658040673001186,0.3203061931526257,TW8
2022-05-01,517284.7040081304,510304.88,630736.4,550372.7544459691,0.4658040673001186,0.3203061931526257,TW8
2022-06-01,539303.0460228147,549530.1,630370.6,573236.350896039,0.4658040673001186,0.3203061931526257,TW8
2022-07-01,528987.5840484776,518493.34,633179.5,557472.6384431672,0.4658040673001186,0.3203061931526257,TW8
2022-08-01,519330.6886098836,510304.88,635984.56,552491.3877102117,0.4658040673001186,0.3203061931526257,TW8
2022-09-01,540735.9777299528,533566.44,635749.94,567829.9384457452,0.4658040673001186,0.3203061931526257,TW8
2022-10-01,538688.7342930839,549530.1,637750.4,575468.7515643939,0.4658040673001186,0.3203061931526257,TW8
2022-11-01,523558.3175442046,520881.3,641091.4,559957.9260947899,0.4658040673001186,0.3203061931526257,TW8
2022-12-01,540916.2864528354,533566.44,641192.8,569611.8863979834,0.4658040673001186,0.3203061931526257,TW8
2022-01-01,1080976.1295226794,800590.06,981559.1,946275.4077692088,0.3819621924926746,0.2776570978504981,SE21
2022-02-01,1084694.6753422085,794626.75,988204.7,947108.5680815132,0.3819621924926746,0.2776570978504981,SE21
2022-03-01,1088413.2211617376,794524.8,994212.2,950003.3733162684,0.3819621924926746,0.2776570978504981,SE21
2022-04-01,1092131.766981267,794524.8,1000857.7,953114.2648249768,0.3819621924926746,0.2776570978504981,SE21
2022-05-01,1095850.312800796,777059.8,1007290.56,949495.1456365136,0.3819621924926746,0.2776570978504981,SE21
2022-06-01,1099568.858620325,789459.5,1013936.0,957342.2370840472,0.3819621924926746,0.2776570978504981,SE21
2022-07-01,1103287.4044398544,786966.8,1020369.0,959442.009302236,0.3819621924926746,0.2776570978504981,SE21
2022-08-01,1107005.9502593835,783768.25,1027014.7,961331.231171566,0.3819621924926746,0.2776570978504981,SE21
2022-09-01,1110724.4960789126,784596.25,1033659.94,964758.315184813,0.3819621924926746,0.2776570978504981,SE21
2022-10-01,1114443.0418984415,783853.8,1040092.94,967526.6167304117,0.3819621924926746,0.2776570978504981,SE21
2022-11-01,1118161.5877179708,767367.75,1046738.44,964340.460435576,0.3819621924926746,0.2776570978504981,SE21
2022-12-01,1121880.1335375002,771935.8,1053171.1,969137.077800994,0.3819621924926746,0.2776570978504981,SE21
2022-01-01,390164.2904925528,391808.9,419564.66,400539.2998681101,0.4735290769930471,0.3263985832236278,N18
2022-02-01,389757.9455451459,391808.9,420950.84,400910.44867181627,0.4735290769930471,0.3263985832236278,N18
2022-03-01,395932.9282371599,390929.53,422784.53,402327.998460765,0.4735290769930471,0.3263985832236278,N18
2022-04-01,397885.6620178171,388395.6,424380.4,402039.6866501791,0.4735290769930471,0.3263985832236278,N18
2022-05-01,398071.8457222871,388395.6,425773.47,402531.6329338933,0.4735290769930471,0.3263985832236278,N18
2022-06-01,399246.5272695735,388395.6,427300.28,403265.0028404108,0.4735290769930471,0.3263985832236278,N18
2022-07-01,400594.6571075147,393754.8,428796.56,406560.8470329464,0.4735290769930471,0.3263985832236278,N18
2022-08-01,401843.76525955426,393754.8,430329.78,407311.19985933753,0.4735290769930471,0.3263985832236278,N18
2022-09-01,403029.2290159255,393119.1,431857.53,407746.01136807847,0.4735290769930471,0.3263985832236278,N18
2022-10-01,404246.8115736163,392787.38,433344.78,408317.9731867543,0.4735290769930471,0.3263985832236278,N18
2022-11-01,405467.8991117644,392787.38,434894.5,409068.1054399851,0.4735290769930471,0.3263985832236278,N18
2022-12-01,406687.2954203761,392412.12,436398.0,409625.11666101654,0.4735290769930471,0.3263985832236278,N18
2022-01-01,696885.3168812529,724556.2,749047.3,719999.2143460108,0.3670460843781439,0.2484071231578523,HA5
2022-02-01,698723.4984792789,722584.1,751481.75,720586.9643214676,0.3670460843781439,0.2484071231578523,HA5
