Borough,ARIMA_Params
SW1E,"(1, 1, 1)"
IG11,"(2, 1, 2)"
UB10,"(0, 1, 1)"
N10,"(3, 1, 1)"
N17,"(3, 1, 2)"
E3,"(3, 1, 2)"
E4,"(2, 1, 1)"
EC1,"(3, 1, 1)"
HA8,"(0, 1, 1)"
RM2,"(0, 1, 1)"
BR1,"(2, 1, 1)"
RM5,"(1, 1, 2)"
BR6,"(0, 1, 2)"
NW8,"(4, 1, 1)"
KT3,"(0, 1, 1)"
DA15,"(1, 1, 2)"
W5,"(3, 1, 1)"
WD3,"(0, 1, 0)"
KT4,"(3, 1, 1)"
W2,"(1, 1, 2)"
N21,"(3, 1, 1)"
CR0,"(1, 1, 2)"
SM3,"(2, 1, 2)"
RM10,"(4, 1, 2)"
CR7,"(0, 1, 1)"
SM4,"(0, 1, 1)"
WC2,"(2, 1, 1)"
SW19,"(0, 1, 1)"
