,BuildDate,Price,EnergyEfficiency,HouseSize,NumOfRms,PricePer,BuildDate,predicted_mean
1,1929.0,-0.7638692185986218,-0.7320218135685079,-0.056939848430947244,0.8202969927574064,-1.2095854570734612,0.5258529892207332,
2,1975.0,-0.734850090999867,0.1523088159057636,-0.3616207316321561,-0.1471170391672397,-1.096965827702247,0.4657289289887311,
3,1929.0,-0.722648866895845,-0.49084073280279755,-0.09378122618784553,-0.1471170391672397,-1.1334890253954686,0.4657289289887311,
4,1929.0,-0.7732124983179178,0.1523088159057636,-0.44955599094971604,0.8202969927574064,-1.1548553258625645,0.4657289289887311,
5,1929.0,-0.7655180326667329,0.393489896671474,0.7766971665061645,2.755125056606699,-1.2982821823075317,0.4657289289887311,
7,1929.0,-0.8880798783963226,-1.5359587494542093,-0.7292277637028115,-1.1145310710918859,-1.3762827773165005,0.5258529892207332,
10,1900.0,-0.784204592105325,-0.49084073280279755,-0.8636853467571843,-1.1145310710918859,-1.0571633217131124,0.4657289289887311,
11,1975.0,-0.7213737840165058,-2.581076766105621,0.005717385272390457,-0.1471170391672397,-1.149777294520431,0.42782463014681665,
13,1975.0,-0.8138832453313243,-0.169265958448517,-0.9443598965898081,-1.1145310710918859,-1.1159691182002232,0.42782463014681665,
14,1929.0,-0.5588666694634785,0.1523088159057636,1.3414190153345305,0.8202969927574064,-1.1329931642020776,0.5454586610355165,
15,1929.0,-0.7446330544706593,-1.4555650558656392,-0.43342108098319126,-1.1145310710918859,-1.0986074068564107,0.4657289289887311,
16,1900.0,-0.8259745484974722,0.4738835902600441,-1.2401665793094283,-2.081945103016532,-1.0112914496955303,0.4657289289887311,
17,1966.0,-0.7501291013643628,-0.08887226485994684,-0.032199653148942596,-0.1471170391672397,-1.190527463217192,0.4657289289887311,
18,1900.0,-0.5269895974799977,1.2778205261457456,0.2657583508995476,-0.1471170391672397,-0.9121090237115724,-2.0555604663924023,
19,1990.0,-0.7281449137895486,-1.3751713622770692,-0.005308136538068026,0.8202969927574064,-1.1588680593923537,0.4657289289887311,
20,1929.0,-0.7929982671352508,0.7150646710257546,-0.702336247091937,-1.1145310710918859,-1.1363475520231305,0.5258529892207332,
23,1929.0,-0.5544698319485156,-0.169265958448517,2.309513613326015,2.755125056606699,-1.2116022859707292,0.42782463014681665,
25,1929.0,-0.8061887796801394,-0.5712344263913677,-0.6187036304321171,-1.1145310710918859,-1.1903964115108114,0.42782463014681665,
27,0.0,-0.6786804917462164,-1.2947776686884989,0.12861161618408745,-0.1471170391672397,-1.105011748578814,0.42782463014681665,
28,1929.0,-0.784204592105325,0.6346709774371844,-0.7195468177228966,-1.1145310710918859,-1.1085846866131288,0.4657289289887311,
29,1975.0,-0.6973670511848086,-2.1791082981627703,-0.060973575922578585,-0.1471170391672397,-1.0973004332018084,0.42782463014681665,
30,1929.0,-0.9161097175542108,0.31309620308290387,-0.8099023135354352,-0.1471170391672397,-1.44627723222518,0.5519938849737777,
31,1900.0,-0.7128659034250526,-0.169265958448517,1.6372256980541506,2.755125056606699,-1.298532704135391,0.4918698247417755,
33,1900.0,-0.7413354263344372,-0.6516281199799379,-0.5928877744856774,-0.1471170391672397,-1.0442522241544918,0.42782463014681665,
35,1929.0,-0.7633196139092514,1.3582142197343157,-0.7238494603806366,-1.1145310710918859,-1.0530270634613477,0.5454586610355165,
36,1900.0,-0.7721132889391772,0.23270250949433371,-0.046183241786597266,-1.1145310710918859,-1.2249281411189337,0.4657289289887311,
37,1900.0,-0.8968735534262483,0.31309620308290387,-0.48720411420494036,-1.1145310710918859,-1.4147251509432461,0.5140895861318633,
