ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{683833BC-7DC7-48E0-9E29-B4C6ACB56759},200000,1995-01-31 00:00,CR2 7HH,D,F,24,,CROHAM PARK AVENUE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,819.369904543406,10.0,244.09,32.0,1929.0,CR2,1995
{37A6E638-1A40-49F2-887A-7BA99BEF1A15},51000,1995-01-31 00:00,CR2 8RS,F,L,187,,SUNDALE AVENUE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,962.264150943396,3.0,53.0,45.0,1975.0,CR2,1995
{21D26D84-0BE6-4862-A1B4-36CE0EB0F235},149950,1995-01-31 00:00,CR2 7HY,D,F,28,,MELVILLE AVENUE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1102.57352941176,7.0,136.0,54.0,1975.0,CR2,1995
{2A289E9E-06DD-CDC8-E050-A8C063054829},39000,1995-02-01 00:00,CR2 6EX,T,F,20,,WYCHE GROVE,,SOUTH CROYDON,CROYDON,GREATER LONDON,590.909090909091,3.0,66.0,56.0,1929.0,CR2,1995
{03946DCE-CE0B-4C12-8AC4-0D345CDA3D20},195000,1995-02-01 00:00,CR2 0NN,D,F,13,,BEECH AVENUE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1433.82352941176,7.0,136.0,61.0,1995.0,CR2,1995
{8AC9B0AC-FF68-4018-B855-69D1203A6641},145000,1995-02-01 00:00,CR2 8SZ,D,F,23,,SUFFIELD CLOSE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,847.953216374269,6.0,171.0,64.0,1990.0,CR2,1995
{FAB99EA5-C8DE-44F5-B6DA-BCEE4ECAB967},78500,1995-02-03 00:00,CR2 6AL,S,F,378,,BRIGHTON ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,467.261904761905,10.0,168.0,54.0,1929.0,CR2,1995
{2A289E9C-E345-CDC8-E050-A8C063054829},30000,1995-02-03 00:00,CR2 6RD,T,F,20,,UPLAND ROAD,,SOUTH CROYDON,CROYDON,GREATER LONDON,263.157894736842,6.0,114.0,72.0,1929.0,CR2,1995
{808A4665-FED8-436D-A552-0EDCC54EA4A7},77500,1995-02-09 00:00,CR2 8RE,F,L,"SANDERSTEAD HEIGHTS, 3",FLAT 11,ADDINGTON ROAD,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,922.619047619048,4.0,84.0,75.0,0.0,CR2,1995
{E3EE7CBE-2A4A-4868-9FA1-8AB1712655C8},106000,1995-02-10 00:00,CR2 0QH,S,F,11,,NORMAN AVENUE,SOUTH CROYDON,SOUTH CROYDON,CROYDON,GREATER LONDON,1115.78947368421,7.0,95.0,54.0,1949.0,CR2,1995
