ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021
{B5755FFD-B2A3-7D01-E053-6C04A8C036B6},370000,2020-10-09 00:00,E2 0JA,F,L,MUSEUM HOUSE,FLAT 28,BURNHAM STREET,,LONDON,TOWER HAMLETS,GREATER LONDON,6271.18644067797,2.0,59.0,72.0,1949.0,E2,2020,10040,2,Bethnal Green,0.20546,53600,4,6a,33.8528398384567
{B82222EC-B738-6691-E053-6B04A8C02FB2},377500,2020-10-12 00:00,E2 0JQ,F,L,10,,SUGAR LOAF WALK,,LONDON,TOWER HAMLETS,GREATER LONDON,8646.35822262941,2.0,43.66,76.0,2002.0,E2,2020,10040,2,Bethnal Green,0.23854,53600,4,6a,29.9023643175823
{B5755FFD-ECC5-7D01-E053-6C04A8C036B6},459500,2020-10-13 00:00,E2 8PG,F,L,QUEENSBRIDGE COURT,FLAT 28,QUEENSBRIDGE ROAD,,LONDON,HACKNEY,GREATER LONDON,6381.94444444444,4.0,72.0,69.0,1949.0,E2,2020,8923,1,Hoxton,0.486536,52300,3,5,21.3525599712175
{B82222EC-7140-6691-E053-6B04A8C02FB2},480000,2020-10-15 00:00,E2 6HY,F,L,"WEAVERS COURT, 3",FLAT 4,HAGUE STREET,,LONDON,TOWER HAMLETS,GREATER LONDON,8108.10810810811,3.0,59.2,69.0,1929.0,E2,2020,7276,2,Bethnal Green Rail,0.30926,51400,3,6a,30.0456608928697
{B5755FFE-3731-7D01-E053-6C04A8C036B6},920000,2020-10-16 00:00,E2 0NN,T,F,108,,CYPRUS STREET,,LONDON,TOWER HAMLETS,GREATER LONDON,10574.7126436782,5.0,87.0,63.0,1929.0,E2,2020,9652,2,Bethnal Green,0.48463,53600,3,5,24.5895296078615
{B82222EC-B79E-6691-E053-6B04A8C02FB2},370000,2020-10-20 00:00,E2 8HR,F,L,"NICHOLS COURT, 10",FLAT 25,CREMER STREET,HACKNEY,LONDON,HACKNEY,GREATER LONDON,7115.38461538462,2.0,52.0,66.0,2002.0,E2,2020,6154,1,Hoxton,0.0689546,59600,2,6a,30.3321770827571
{BA558B32-1CB6-76EF-E053-6B04A8C0B4B7},436000,2020-10-21 00:00,E2 7AU,F,L,WYNDHAM DEEDES HOUSE,FLAT 16,HACKNEY ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON,5813.33333333333,4.0,75.0,71.0,1966.0,E2,2020,6274,2,Cambridge Heath,0.574735,56500,2,6a,26.4816267640122
{B5755FFD-EC85-7D01-E053-6C04A8C036B6},602000,2020-10-22 00:00,E2 8EB,F,L,178,,KINGSLAND ROAD,,LONDON,HACKNEY,GREATER LONDON,4426.47058823529,7.0,136.0,64.0,1975.0,E2,2020,2862,1,Hoxton,0.295542,61100,1,5,24.7411144819668
{B82222EC-B802-6691-E053-6B04A8C02FB2},420000,2020-10-23 00:00,E2 7DS,F,L,128,,SWANFIELD STREET,,LONDON,TOWER HAMLETS,GREATER LONDON,8400.0,3.0,50.0,76.0,2002.0,E2,2020,6850,1,Shoreditch High Street,0.342011,51900,3,6a,28.9672072063867
{B82222EC-B6C0-6691-E053-6B04A8C02FB2},430000,2020-10-26 00:00,E2 0EL,F,L,295A,,CAMBRIDGE HEATH ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON,6515.15151515152,3.0,66.0,62.0,1900.0,E2,2020,10838,2,Bethnal Green,0.0538809,48800,4,6a,38.0978734734513
