ID,Price,Date,Postcode,Type,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021
{830418DA-CC43-445B-B3D0-239E41AC859B},88000,1995-01-06 00:00,HA2 8QP,S,F,83,,TREGENNA AVENUE,HARROW,HARROW,HARROW,GREATER LONDON,606.896551724138,7.0,145.0,69.0,1949.0,HA2,1995,19337,5,Northolt Park,0.701827,56100,6,1b,4.4960093844241
{54BC54A3-EC22-403B-A589-4DB5DE26DA90},50500,1995-01-06 00:00,HA2 9AZ,F,L,72,,STUART AVENUE,HARROW,HARROW,HARROW,GREATER LONDON,1052.08333333333,3.0,48.0,62.0,1949.0,HA2,1995,15825,5,Northolt Park,1.37112,56100,5,2,5.93694684864946
{FD0DD68C-1C84-40A1-B384-7B1F7B68EB1D},95000,1995-01-09 00:00,HA2 0HL,T,F,26,,MIDDLE ROAD,HARROW,HARROW,HARROW,GREATER LONDON,1464.46739633112,4.0,64.87,54.0,1900.0,HA2,1995,25446,5,South Harrow,0.723298,71300,8,4,15.4826787082844
{B3D13329-E906-4BC9-B451-0DAD1D94FE44},82000,1995-01-10 00:00,HA2 0PR,T,F,32,,DUDLEY ROAD,HARROW,HARROW,HARROW,GREATER LONDON,1049.80156189988,4.0,78.11,68.0,1949.0,HA2,1995,6641,5,South Harrow,0.520772,52300,3,2,8.62872923744403
{C0B3B9CF-6BA6-4E32-8A3B-47C0AF020671},52000,1995-01-16 00:00,HA2 9BT,T,F,48,,SANDRINGHAM CRESCENT,HARROW,HARROW,HARROW,GREATER LONDON,688.559322033898,4.0,75.52,67.0,1949.0,HA2,1995,9388,5,South Harrow,0.901751,55100,3,2,6.41655165100744
{A262B4AB-C62F-49CC-960E-0F8A92EDCD62},95000,1995-01-17 00:00,HA2 8SZ,S,F,12,,CORFE AVENUE,HARROW,HARROW,HARROW,GREATER LONDON,969.387755102041,4.0,98.0,61.0,1949.0,HA2,1995,19337,5,Northolt Park,0.775159,56100,6,1b,4.99602696185195
{0CB6C820-521E-40C8-B252-20988A12FA0C},54000,1995-01-18 00:00,HA2 0TP,T,F,46,,COLES CRESCENT,HARROW,HARROW,HARROW,GREATER LONDON,692.307692307692,5.0,78.0,64.0,1949.0,HA2,1995,9388,5,South Harrow,0.719301,55100,3,2,6.76307050401922
{2A289E9C-E4EB-CDC8-E050-A8C063054829},38500,1995-01-18 00:00,HA2 7BA,F,L,9,,BLADON GARDENS,,HARROW,HARROW,GREATER LONDON,802.083333333333,2.0,48.0,74.0,1990.0,HA2,1995,23160,5,West Harrow,0.447454,59400,8,3,14.2538248368893
{29106262-83D8-4897-BF60-01747BCC85FB},82000,1995-01-20 00:00,HA2 8SP,S,F,16,,EARLSMEAD,HARROW,HARROW,HARROW,GREATER LONDON,1109.30735930736,5.0,73.92,55.0,1949.0,HA2,1995,19337,5,Northolt Park,0.889972,56100,6,1b,4.38182720077448
{515B407C-F56D-4977-BEED-F0A07BB80D35},52000,1995-01-20 00:00,HA2 0NW,F,L,"THORNCROFT, 6",FLAT 8,SOUTH HILL AVENUE,SOUTH HARROW,HARROW,HARROW,GREATER LONDON,1266.74786845311,2.0,41.05,70.0,1995.0,HA2,1995,6641,5,South Harrow,0.0403745,52300,3,5,22.302492729517
