ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021,ARIMA_Predictions
{52B5AAA3-A24F-4A27-84E7-0CE3C61C4E9F},59500,1995-01-20,NW1 0DX,F,,L,52A,,CAMDEN STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1166.66666666667,3.0,51.0,71.0,1900.0,NW1,1995,11047,2,Mornington Crescent,0.367332,51300,4,6a,32.9949635822229,0.0
{367D9F4F-76D9-4C98-A6B0-F2F97FF48503},185000,1995-01-20,NW1 9DA,F,,L,26,,CAMDEN MEWS,LONDON,LONDON,CAMDEN,GREATER LONDON,1740.35747883349,6.0,106.3,46.0,1975.0,NW1,1995,20799,2,Camden Road,0.502267,58300,7,4,15.0887896891771,0.0
{E2C0CEAE-D1B5-4133-87DF-78BA657CCD36},117000,1995-01-23,NW1 5LG,F,,L,FARLEY COURT,FLAT 33,ALLSOP PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1625.0,3.0,72.0,73.0,1966.0,NW1,1995,24363,1,Baker Street,0.0678779,89100,8,6b,84.8080584410104,0.0
{937F3267-5689-4401-B64F-C13622B8B1BC},176000,1995-01-23,NW1 9PG,F,,L,14,,BONNY STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1183.59112306658,5.0,148.7,62.0,1982.0,NW1,1995,6470,2,Camden Road,0.0483019,51300,2,6b,51.2497785777435,0.0
{7B5BE32D-397E-4069-B133-2EBED0EB522E},165000,1995-01-25,NW1 7BG,S,,L,DARWIN COURT,FLAT 8,GLOUCESTER AVENUE,LONDON,LONDON,CAMDEN,GREATER LONDON,1486.48648648649,3.0,111.0,71.0,1975.0,NW1,1995,23485,2,Camden Town,0.469544,65100,8,3,12.3242237703773,0.0
{055B6043-682B-4E80-9D8A-B32623A85819},137000,1995-01-25,NW1 6LW,F,,L,104,FLAT 9,LISSON GROVE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1892.52659207073,3.0,72.39,73.0,1990.0,NW1,1995,27574,1,Marylebone,0.23856,89100,9,6b,52.7140081705361,0.0
{303979FE-12A2-49BA-A3FC-CFF48937CB52},80000,1995-01-26,NW1 0HR,F,,L,8,FLAT 4,ST MARTINS CLOSE,LONDON,LONDON,CAMDEN,GREATER LONDON,1403.50877192982,3.0,57.0,68.0,1929.0,NW1,1995,6470,2,Camden Town,0.285398,51300,2,6a,34.8686755921334,0.0
{51C88EF4-4355-47A3-BE61-03929FDE99DD},170000,1995-01-27,NW1 6AN,F,,L,142,,CLARENCE GATE GARDENS,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1667.9748822606,5.0,101.92,70.0,1929.0,NW1,1995,26318,1,Baker Street,0.150069,89100,9,6b,80.7714234902285,0.0
{4760B9B4-BFF4-4AD2-A9B9-8426D38EB2F7},145000,1995-01-30,NW1 5NB,F,,L,BERKELEY COURT,FLAT 47,MARYLEBONE ROAD,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1000.0,6.0,145.0,58.0,1949.0,NW1,1995,26318,1,Baker Street,0.130478,89100,9,6b,83.8402267208411,0.0
{DA07FB17-2E97-422D-8406-A7C655DB9CB5},270000,1995-01-31,NW1 6ND,T,,F,46A,,BALCOMBE STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,5400.0,3.0,50.0,69.0,1900.0,NW1,1995,27574,1,Marylebone,0.115383,89100,9,6b,64.4109747830909,0.0
{E4229F94-BD7A-4770-A36B-91C6F3359E38},115000,1995-01-31,NW1 5LQ,F,,L,FARLEY COURT,FLAT 58,ALLSOP PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,2875.0,3.0,40.0,74.0,1900.0,NW1,1995,24363,1,Baker Street,0.0678779,89100,8,6b,84.8080584410104,0.0
{0A56BBAC-053E-4721-B236-6FCAD00D3222},94500,1995-01-31,NW1 0XH,T,,F,6,,PLOUGHMANS CLOSE,LONDON,LONDON,CAMDEN,GREATER LONDON,1822.91666666667,3.0,51.84,76.0,1990.0,NW1,1995,11047,2,Camden Road,0.490944,51300,4,4,17.6589433827439,0.0
{AD67C0D5-8AE1-4AD2-8BC2-5786CEDB63DE},153000,1995-02-02,NW1 6BT,F,,L,IVOR COURT,FLAT 130,GLOUCESTER PLACE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1961.53846153846,4.0,78.0,81.0,1929.0,NW1,1995,27574,1,Marylebone,0.301364,89100,9,6b,60.8262698784448,-3553.680098663146
{8D597479-08AC-4251-881D-B5A4F53B15C6},125000,1995-02-03,NW1 5SR,F,,L,CHILTERN COURT,FLAT 115,BAKER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1126.12612612613,4.0,111.0,62.0,1929.0,NW1,1995,24363,1,Baker Street,0.0442345,89100,8,6b,90.5956793224753,-3553.680098663146
{298EE3E8-D171-4DCF-A29B-181845CECCAC},842000,1995-02-06,NW1 7PZ,S,,L,26,,PARK VILLAGE EAST,LONDON,LONDON,CAMDEN,GREATER LONDON,3547.8026376775,7.0,237.33,39.0,1900.0,NW1,1995,8522,2,Mornington Crescent,0.36544,62700,3,5,23.8136745604697,-3553.680098663146
{99CE0D9A-C2D4-443F-946B-95E70F69AFA5},70500,1995-02-09,NW1 4BU,F,,L,CHESTER COURT,FLAT 46,ALBANY STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1462.04894234757,2.0,48.22,54.0,1949.0,NW1,1995,19148,1,Regents Park,0.559059,62700,6,6a,30.9228372219775,-3553.680098663146
{74AD1C53-A9E6-47E7-8EDC-7CA19B9ED148},77000,1995-02-10,NW1 0EH,F,,L,13A,,LYME STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1638.29787234043,2.0,47.0,76.0,1900.0,NW1,1995,6470,2,Camden Road,0.1568,51300,2,6a,37.5722734994584,-3553.680098663146
{AEFCFE80-3F77-4C7C-8589-C144A7BF2F49},72500,1995-02-10,NW1 1ST,T,,L,OAKSHOTT COURT,FLAT 48,POLYGON ROAD,LONDON,LONDON,CAMDEN,GREATER LONDON,830.374527545527,5.0,87.31,71.0,1982.0,NW1,1995,6579,1,Euston,0.311856,46600,3,6b,55.4374239596929,-3553.680098663146
{90BCC0E6-79C4-4E73-9B7D-48965F3E8B61},152000,1995-02-10,NW1 5EB,F,,L,OXFORD & CAMBRIDGE MANSIONS,FLAT 2D,OLD MARYLEBONE ROAD,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,974.358974358974,6.0,156.0,72.0,1929.0,NW1,1995,14144,1,Edgware Road (Circle/District/Hammersmith and City),0.112542,68500,5,6b,83.2195311049317,-3553.680098663146
{2A289E9D-81C2-CDC8-E050-A8C063054829},50000,1995-02-10,NW1 2EU,F,,L,13,,GEORGE MEWS,,LONDON,CAMDEN,GREATER LONDON,666.666666666667,4.0,75.0,77.0,1982.0,NW1,1995,8263,1,Euston Square,0.283807,46800,3,6b,69.9380277060968,-3553.680098663146
{0C854AE4-5E3C-4461-8E30-91B482BBA538},112500,1995-02-10,NW1 6NT,F,,L,FARNHAM HOUSE,FLAT 10,HAREWOOD AVENUE,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,1184.21052631579,4.0,95.0,72.0,1982.0,NW1,1995,27574,1,Marylebone,0.204681,89100,9,6b,51.424446430833,-3553.680098663146
{30B15D32-B2C4-4D87-8ECB-3D48EAC164B7},65000,1995-02-10,NW1 1PR,F,,L,ALDENHAM HOUSE,FLAT 7,ALDENHAM STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1160.71428571429,3.0,56.0,61.0,1949.0,NW1,1995,6579,1,Euston,0.35793,46600,3,6b,55.9025332130721,-3553.680098663146
{ABDFEB37-B13B-4416-B898-402024056BDE},92000,1995-02-13,NW1 7QH,F,,L,"SILSOE HOUSE, 50",FLAT 2,PARK VILLAGE EAST,LONDON,LONDON,CAMDEN,GREATER LONDON,1484.11034037748,3.0,61.99,62.0,1975.0,NW1,1995,19148,2,Mornington Crescent,0.38069,62700,6,4,14.2356513213215,-3553.680098663146
{EDE9B808-E071-4E25-A5A0-CF8D872DAA90},73000,1995-02-13,NW1 1RS,F,,L,10,,CHARRINGTON STREET,LONDON,LONDON,CAMDEN,GREATER LONDON,1106.06060606061,3.0,66.0,66.0,1929.0,NW1,1995,5146,2,St Pancras,0.332797,46600,2,6b,58.3855365672381,-3553.680098663146
