Date,Price
2022-01-31,240000.0
2022-02-28,395000.0
2022-03-31,
2022-04-30,300000.0
2022-05-31,376816.6666666667
2022-06-30,
2022-07-31,
2022-08-31,857500.0
2022-09-30,656250.0
2022-10-31,473200.0
2022-11-30,442500.0
2022-12-31,1020000.0
