Ward Code,Ward Name,AvPTAI2015,PTAL
E05000405,Chessington South,1.743083,0
E05000414,Tolworth and Hook Rise,3.644788,1
E05000401,Berrylands,5.655172,2
E05000400,Alexandra,3.933086,1
E05000402,Beverley,7.062827,2
E05000406,Coombe Hill,3.502252,1
E05000404,Chessington North and Hook,4.157895,1
E05000413,Surbiton Hill,8.163636,2
E05000410,Old Malden,5.944751,2
E05000412,St. Mark's,11.095588,3
E05000408,Grove,15.8,4
E05000403,Canbury,12.336,3
E05000409,Norbiton,9.414815,2
E05000407,Coombe Vale,4.930818,1
E05000411,St. James,5.065421,2
E05000415,Tudor,3.922581,1
E05000150,Coulsdon East,1.975389,0
E05000162,Selsdon and Ballards,2.225,0
E05000151,Coulsdon West,4.631263,1
E05000167,Waddon,8.563187,2
E05000156,Kenley,2.430556,0
E05000159,Purley,5.864286,2
E05000160,Sanderstead,1.814465,0
E05000155,Heathfield,4.037931,1
E05000153,Fairfield,26.476064,6
E05000149,Broad Green,16.674157,4
E05000168,West Thornton,7.091371,2
E05000148,Bensham Manor,10.180556,3
E05000158,Norbury,7.568093,2
E05000157,New Addington,6.911765,2
E05000152,Croham,6.941504,2
E05000154,Fieldway,7.835616,2
E05000163,Shirley,3.438596,1
E05000161,Selhurst,12.730089,3
E05000147,Ashburton,6.958955,2
E05000169,Woodside,10.842593,3
E05000165,Thornton Heath,8.97006,2
E05000166,Upper Norwood,6.77907,2
E05000164,South Norwood,11.145833,3
E05000146,Addiscombe,18.264151,4
E05000117,Darwin,0.365702,0
E05000119,Hayes and Coney Hall,2.456302,0
E05000108,Bromley Common and Keston,3.552727,1
E05000110,Chelsfield and Pratts Bottom,1.34689,0
E05000107,Biggin Hill,1.323706,0
E05000127,West Wickham,3.869074,1
E05000112,Clock House,12.892241,3
E05000120,Kelsey and Eden Park,5.216374,2
E05000118,Farnborough and Crofton,3.737892,1
E05000126,Shortlands,5.161943,2
E05000109,Bromley Town,14.913279,3
E05000106,Bickley,4.860656,1
E05000124,Petts Wood and Knoll,6.87703,2
E05000116,Crystal Palace,14.25,3
E05000123,Penge and Cator,11.905405,3
E05000113,Copers Cope,8.605422,2
E05000125,Plaistow and Sundridge,5.167082,2
E05000111,Chislehurst,2.901341,1
E05000121,Mottingham and Chislehurst North,4.119342,1
E05000122,Orpington,6.424171,2
E05000115,Cray Valley West,4.635443,1
