Postcode,Ward Code,London zone,Index of Multiple Deprivation,Nearest station,Distance to station,Average Income,IMD decile,Ward Name,AvPTAI2015,PTAL
E14 8LX,E05009323,2,11466,South Quay,0.35578,52900,4,Canary Wharf,15.085366,4
E14 8LY,E05009323,2,11466,South Quay,0.450723,52900,4,Canary Wharf,15.085366,4
E14 8LZ,E05009323,2,21416,Heron Quays,0.498134,56100,7,Canary Wharf,15.085366,4
E14 8NA,E05009323,2,11466,South Quay,0.411407,52900,4,Canary Wharf,15.085366,4
E14 8NB,E05009323,2,14749,Heron Quays,0.34017,56100,5,Canary Wharf,15.085366,4
E14 8ND,E05009323,2,10692,South Quay,0.725118,52900,4,Canary Wharf,15.085366,4
E14 8NE,E05009323,2,27157,Heron Quays,0.389648,56100,9,Canary Wharf,15.085366,4
E14 8NF,E05009323,2,27157,Heron Quays,0.389648,56100,9,Canary Wharf,15.085366,4
E14 8NG,E05009323,2,21416,Heron Quays,0.40762,56100,7,Canary Wharf,15.085366,4
E14 8NH,E05009323,2,21416,South Quay,0.576795,56100,7,Canary Wharf,15.085366,4
E14 8NJ,E05009323,2,10692,Crossharbour and London Arena,0.557897,52900,4,Canary Wharf,15.085366,4
E14 8NL,E05009323,2,10692,South Quay,0.768311,52900,4,Canary Wharf,15.085366,4
E14 8NN,E05009323,2,10692,Crossharbour and London Arena,0.576807,52900,4,Canary Wharf,15.085366,4
E14 8NP,E05009323,2,10692,South Quay,0.64084,52900,4,Canary Wharf,15.085366,4
E14 8NQ,E05009323,2,21416,Heron Quays,0.457755,56100,7,Canary Wharf,15.085366,4
E14 8NR,E05009323,2,10692,Crossharbour and London Arena,0.487693,52900,4,Canary Wharf,15.085366,4
E14 8NS,E05009323,2,17320,South Quay,0.567391,52900,6,Canary Wharf,15.085366,4
E14 8NT,E05009323,2,10692,South Quay,0.644871,52900,4,Canary Wharf,15.085366,4
E14 8NU,E05009323,2,10692,South Quay,0.644871,52900,4,Canary Wharf,15.085366,4
E14 8NW,E05009326,2,5983,Westferry,0.0573954,68500,2,Limehouse,18.833333,4
E14 8NX,E05009323,2,7916,Crossharbour and London Arena,0.497612,52900,3,Canary Wharf,15.085366,4
E14 8NY,E05009323,2,20860,South Quay,0.298525,56100,7,Canary Wharf,15.085366,4
E14 8NZ,E05009323,2,11466,South Quay,0.352872,52900,4,Canary Wharf,15.085366,4
E14 8PA,E05009323,2,10692,Crossharbour and London Arena,0.59377,52900,4,Canary Wharf,15.085366,4
E14 8PB,E05009323,2,10692,South Quay,0.530371,52900,4,Canary Wharf,15.085366,4
E14 8PD,E05009323,2,10692,South Quay,0.732078,52900,4,Canary Wharf,15.085366,4
E14 8PE,E05009323,2,7916,Crossharbour and London Arena,0.41254,52900,3,Canary Wharf,15.085366,4
E14 8PF,E05009323,2,7916,Crossharbour and London Arena,0.384218,52900,3,Canary Wharf,15.085366,4
E14 8PG,E05009323,2,17320,South Quay,0.457238,52900,6,Canary Wharf,15.085366,4
E14 8PH,E05009323,2,17320,South Quay,0.497447,52900,6,Canary Wharf,15.085366,4
E14 8PJ,E05009323,2,7916,Crossharbour and London Arena,0.387462,52900,3,Canary Wharf,15.085366,4
E14 8PL,E05009323,2,7916,Crossharbour and London Arena,0.459723,52900,3,Canary Wharf,15.085366,4
E14 8PN,E05009323,2,7916,Crossharbour and London Arena,0.396851,52900,3,Canary Wharf,15.085366,4
E14 8PP,E05009323,2,7916,Crossharbour and London Arena,0.33181,52900,3,Canary Wharf,15.085366,4
